"user_id";"user_external_id";"ID";"answered";"Ja";"Nee"
15547;"5.20.16616884";1585379;"05-08-2021 10:19:15";;1
6259;"4.18.0917596";1585383;"05-08-2021 10:19:21";1;
10155;"11.18.14311492";1585385;"05-08-2021 10:19:22";1;
8140;"8.18.1539477";1585390;"05-08-2021 10:19:48";1;
17067;"12.20.10418404";1585395;"05-08-2021 10:20:03";1;
16467;"9.20.27717804";1585398;"05-08-2021 10:20:28";;1
18557;"8.21.04319894";1585408;"05-08-2021 10:23:31";;1
11649;"1.19.19612986";1585411;"05-08-2021 10:24:20";1;
15530;"5.20.14416867";1585422;"05-08-2021 10:33:06";;1
18558;"8.21.04319895";1585434;"05-08-2021 10:51:46";;1
15167;"4.20.01316504";1585439;"05-08-2021 10:53:26";1;
12762;"3.19.25114099";1585443;"05-08-2021 11:12:52";1;
15315;"4.20.19716652";1585449;"05-08-2021 11:22:33";1;
18525;"7.21.28319862";1585452;"05-08-2021 11:26:33";;1
11009;"12.18.19312346";1585487;"05-08-2021 15:49:22";;1
18498;"7.21.24619835";1585490;"05-08-2021 16:21:04";;1
11396;"1.19.06712733";1585493;"05-08-2021 17:03:44";1;
16114;"8.20.03117451";1585496;"05-08-2021 22:49:43";;1
18539;"7.21.31619876";1585499;"06-08-2021 00:03:23";;1
17078;"12.20.13718415";1585527;"06-08-2021 07:59:29";1;
5610;"2.18.0366947";1585537;"06-08-2021 09:50:52";;1
16876;"11.20.16118213";1589775;"06-08-2021 12:26:44";;1
18040;"4.21.24619377";1591990;"06-08-2021 16:14:18";1;
18568;"8.21.07619905";1593022;"07-08-2021 10:04:29";1;
18507;"7.21.25719844";1593057;"07-08-2021 13:11:19";;1
18485;"7.21.21319822";1593319;"08-08-2021 18:59:24";;1
5977;"3.18.1177314";1593328;"09-08-2021 01:10:24";;1
18588;"8.21.10219925";1593403;"10-08-2021 00:53:53";;1
18591;"8.21.10219928";1593509;"10-08-2021 10:15:37";;1
18594;"8.21.10219931";1593727;"10-08-2021 13:58:07";;1
18601;"8.21.11319938";1593869;"11-08-2021 09:55:04";;1
18607;"8.21.11319944";1593972;"11-08-2021 22:26:40";;1
18608;"8.21.11319945";1594003;"12-08-2021 00:00:25";;1
17202;"12.20.31418539";1596587;"13-08-2021 22:40:54";1;
4059;"8.17.2225396";1597782;"17-08-2021 09:31:45";1;
18641;"8.21.17219978";1597815;"17-08-2021 15:39:13";1;
4561;"10.17.1615898";1597884;"18-08-2021 17:36:42";;1
18651;"8.21.19419988";1597948;"19-08-2021 00:39:59";;1
18657;"8.21.19419994";1601175;"19-08-2021 17:11:34";;1
13277;"6.19.02714614";1602864;"21-08-2021 16:54:09";;1
18668;"8.21.22720005";1603071;"22-08-2021 19:36:36";1;
18064;"4.21.29419401";1603193;"23-08-2021 07:47:00";;1
18680;"8.21.24220017";1604364;"24-08-2021 12:25:07";;1
18683;"8.21.24220020";1604408;"24-08-2021 17:08:03";1;
18686;"8.21.25320023";1604454;"25-08-2021 05:22:37";;1
18688;"8.21.25320025";1604477;"25-08-2021 14:03:26";;1
18690;"8.21.25320027";1604520;"25-08-2021 16:48:35";;1
18692;"8.21.25320029";1604617;"26-08-2021 21:46:37";;1
18707;"8.21.27520044";1604738;"27-08-2021 23:22:05";;1
18715;"8.21.28620052";1604866;"28-08-2021 13:30:01";;1
18739;"8.21.31220076";1605141;"31-08-2021 14:46:38";1;
18743;"9.21.01320080";1605842;"01-09-2021 13:41:55";;1
6436;"5.18.0237773";1609037;"05-09-2021 09:00:59";;1
18821;"9.21.08320158";1610176;"08-09-2021 17:32:12";;1
18833;"9.21.09420170";1617710;"09-09-2021 20:44:33";;1
4931;"11.17.2346268";1631614;"13-09-2021 21:41:39";;1
18870;"9.21.14220207";1633465;"14-09-2021 19:52:59";;1
18885;"9.21.16420222";1634400;"16-09-2021 09:54:57";;1
18879;"9.21.15320216";1634447;"16-09-2021 13:07:28";;1
18892;"9.21.17520229";1634582;"17-09-2021 07:59:38";;1
18896;"9.21.17520233";1639119;"17-09-2021 20:29:44";;1
18464;"7.21.13219801";1650554;"19-09-2021 16:41:01";1;
18952;"9.21.22320289";1657564;"22-09-2021 14:23:28";;1
