ID,Gender,Leeftijd,Provincie,Habitat,Opleiding,Beroep,Pot Groen,Pot CD&V,Pot N-VA,Pot Vooruit,Pot VB,Pot VLD,Pot PVDA,Voorkeur,Aversie,Stem 2019,Waarom sp.a in 2019 maar nu niet Vooruit?,Waarom niet sp.a in 2019 maar nu wel?,Vertrouwen BEL regering,Vertrouwen De Croo,Vertrouwen VLA regering,Vertrouwen Jambon,Grootste probleem is waarmee ons land momenteel wordt geconfronteerd?,Conner Rousseau: Kent u ... ?,Meryame Kitir: Kent u ... ?,Frank Vandenbroucke: Kent u ... ?,Vincent Van Quickenborne: Kent u ... ?,Alexander De Croo: Kent u ... ?,Bart Somers: Kent u ... ?,Egbert Lachaert: Kent u ... ?,Hilde Crevits: Kent u ... ?,Joachim Coens: Kent u ... ?,Wouter Beke: Kent u ... ?,Annelies Verlinden: Kent u ... ?,Meyrem Almaci: Kent u ... ?,Petra De Sutter: Kent u ... ?,Tom Van Grieken: Kent u ... ?,Dries Van Langenhove: Kent u ... ?,Peter Mertens: Kent u ... ?,Bart De Wever: Kent u ... ?,Jan Jambon: Kent u ... ?,Theo Francken: Kent u ... ?,Ben Weyts: Kent u ... ?,Zuhal Demir: Kent u ... ?,Conner Rousseau: Potentieel,Meryame Kitir: Potentieel,Frank Vandenbroucke: Potentieel,Vincent Van Quickenborne: Potentieel,Alexander De Croo: Potentieel,Bart Somers: Potentieel,Egbert Lachaert: Potentieel,Hilde Crevits: Potentieel,Joachim Coens: Potentieel,Wouter Beke: Potentieel,Annelies Verlinden: Potentieel,Meyrem Almaci: Potentieel,Petra De Sutter: Potentieel,Tom Van Grieken: Potentieel,Dries Van Langenhove: Potentieel,Peter Mertens: Potentieel,Bart De Wever: Potentieel,Jan Jambon: Potentieel,Theo Francken: Potentieel,Ben Weyts: Potentieel,Zuhal Demir: Potentieel,Positieve woorden om Vooruit (vroeger sp.a) te omschrijven?,Label positieve woorden Vooruit,Negatieve woorden Vooruit (vroeger sp.a) te omschrijven?,Kolom,Label negatieve woorden Vooruit,Overall sentiment,Waarin verschilt Vooruit volgens u van sp.a?,Label verschil
933,Vrouw,25,Antwerpen,GROTE agglomeraties,"kandidaat, bachelor, graduaat","Lid van de algemene directie, hoger kaderlid (directeur, bestuurder, …) verantwoordelijk voor 5 werknemers of minder",Ja,Ja,Ja,Ja,Nee,Nee,Nee,Groen,{Geen},sp.a,ok,,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,ok,Ja,Nee,Ja,Nee,Ja,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,,Ja,,Ja,,,Ja,,,,,,,Ja,,Nee,Ja,Nee,Nee,Ja,ok,Ongeldig,ok,,Ongeldig,Ongeldig,ok,Geen
860,Man,66,Vlaams-Brabant,GROTE agglomeraties,hoger algemeen secundair onderwijs,Gepensioneerde,Nee,Nee,Ja,Nee,Ja,Ja,Nee,VB,{PVDA},VB,,,Weinig vertrouwen,Weinig vertrouwen,Weinig vertrouwen,Weinig vertrouwen,het land,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Nee,nulstand,Geen,onbelangrijk,,Achterhaald,Negatief,3 karakters,Naam
669,Man,22,Antwerpen,Stedelijke gemeenten,hoger secundair technisch of artistiek onderwijs,Scholier/Student / in opleiding,Nee,Nee,Ja,Nee,Nee,Ja,Nee,N-VA,{PVDA},N-VA,,,Weinig vertrouwen,Weinig vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,De stemmen in de 2 landsdelen worden 50/50 verdeeld en niet hoeveel mensen in dat bepaalde landsdeel wonen. Daarnaast kan je enkel op Vlaamse partijen stemmen en niet de degene van de andere taalgemeenschap.,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Ja,Ja,Ja,/,Geen,onbetrouwbaar,,Onbetrouwbaar,Negatief,naam voor de rest nergens,Naam
223,Man,39,Oost-Vlaanderen,Sekundaire gemeenten,hoger secundair beroepsonderwijs (BSO),Werkloos,Nee,Nee,Ja,Ja,Nee,Nee,Nee,N-VA,{VB},N-VA,,,Weinig vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,migratie,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,Nee,Nee,Ja,Nee,Nee,Nee,,Nee,Nee,Nee,,Nee,Nee,Nee,Ja,Ja,Ja,Nee,Nee,geen,Geen,onnodig,,zinloze naamsverandering,Negatief,nergens,Geen
478,Vrouw,41,Antwerpen,GROTE agglomeraties,"kandidaat, bachelor, graduaat","Andere bediende die hoofdzakelijk kantoorwerk uitvoert (vb.secretaresses, assistenten,…)",Nee,Nee,Ja,Nee,Nee,Nee,Nee,N-VA,{Groen},N-VA,,,Redelijk vertrouwen,Redelijk vertrouwen,Veel vertrouwen,Veel vertrouwen,corona crisis,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Ja,Ja,Ja,geen specifieke indruk,Geen,onnodig,,Achterhaald,Negatief,denkt aan de toekomst,Beleid: toekomstgericht
772,Vrouw,56,Antwerpen,Andere gemeenten,hoger secundair beroepsonderwijs (BSO),Geschoold arbeider,Nee,Nee,Nee,Nee,Ja,Nee,Nee,VB,"{Groen,VLD}",VB,,,Weinig vertrouwen,Helemaal geen vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,het gekloot van onze talrijke politiekers,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,niks positief,Geen,onnozel om van naam te veranderen. men zou beter zijn programma aanpassen!,,Kernthema's,Negatief,geen verschil,Geen
759,Vrouw,28,Limburg,Andere gemeenten,"licentiaat, master, postgraduaat","Andere bediende die hoofdzakelijk kantoorwerk uitvoert (vb.secretaresses, assistenten,…)",Nee,Nee,Nee,Nee,Nee,Ja,Nee,VLD,"{Groen,CD&V,N-VA,Vooruit,VB,PVDA}",VLD,,,Redelijk vertrouwen,Redelijk vertrouwen,Weinig vertrouwen,Helemaal geen vertrouwen,Het opvangen van de economische gevolgen van de coronacrisis,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,?,Geen idee,onrealistisch,,Onrealistisch,Negatief,niks,Geen
565,Vrouw,35,Antwerpen,Sekundaire gemeenten,hoger secundair technisch of artistiek onderwijs,"Andere bediende die hoofdzakelijk kantoorwerk uitvoert (vb.secretaresses, assistenten,…)",Nee,Nee,Ja,Nee,Ja,Nee,Ja,N-VA,{VLD},N-VA,,,Weinig vertrouwen,Helemaal geen vertrouwen,Helemaal geen vertrouwen,Helemaal geen vertrouwen,corona,Ja,Nee,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Ja,Ja,Ja,Nee,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Nee,,Nee,Nee,Nee,Nee,,Nee,,Nee,Nee,Nee,,Nee,Nee,,Ja,Nee,Nee,Nee,Nee,sociaal,Sociaal,onrealistisch,,Onrealistisch,Evenwichtig,geen idee,Geen
672,Vrouw,40,Antwerpen,Sekundaire gemeenten,"kandidaat, bachelor, graduaat","Andere bediende die hoofdzakelijk kantoorwerk uitvoert (vb.secretaresses, assistenten,…)",Nee,Nee,Ja,Nee,Ja,Nee,Nee,N-VA,"{Groen,Vooruit,VLD,PVDA}",N-VA,,,Helemaal geen vertrouwen,Helemaal geen vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,"Er worden altijd te veel compromissen gesloten, waardoor er uiteindelijk niets veranderd. Er worden teveel mensen in de watten gelegd, terwijl hardwerkende mensen altijd de klos zijn.",Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Nee,Ja,Ja,Ja,progressief en jong,Innovatie - Vernieuwing,onverstandig,,Naïef,Evenwichtig,niets,Geen
168,Man,23,Oost-Vlaanderen,GROTE agglomeraties,"licentiaat, master, postgraduaat",Scholier/Student / in opleiding,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Weet niet,{Weet niet},Weet niet,,,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,corona,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,geen idee,Ongeldig,ook geen idee,,Ongeldig,Ongeldig,nergens,Geen
