ID,Gender,Leeftijd,Provincie,Habitat,Opleiding,Beroep,Pot Groen,Pot CD&V,Pot N-VA,Pot Vooruit,Pot VB,Pot VLD,Pot PVDA,Voorkeur,Aversie,Stem 2019,Waarom sp.a in 2019 maar nu niet Vooruit?,Waarom niet sp.a in 2019 maar nu wel?,Vertrouwen BEL regering,Vertrouwen De Croo,Vertrouwen VLA regering,Vertrouwen Jambon,Grootste probleem is waarmee ons land momenteel wordt geconfronteerd?,Conner Rousseau: Kent u ... ?,Meryame Kitir: Kent u ... ?,Frank Vandenbroucke: Kent u ... ?,Vincent Van Quickenborne: Kent u ... ?,Alexander De Croo: Kent u ... ?,Bart Somers: Kent u ... ?,Egbert Lachaert: Kent u ... ?,Hilde Crevits: Kent u ... ?,Joachim Coens: Kent u ... ?,Wouter Beke: Kent u ... ?,Annelies Verlinden: Kent u ... ?,Meyrem Almaci: Kent u ... ?,Petra De Sutter: Kent u ... ?,Tom Van Grieken: Kent u ... ?,Dries Van Langenhove: Kent u ... ?,Peter Mertens: Kent u ... ?,Bart De Wever: Kent u ... ?,Jan Jambon: Kent u ... ?,Theo Francken: Kent u ... ?,Ben Weyts: Kent u ... ?,Zuhal Demir: Kent u ... ?,Conner Rousseau: Potentieel,Meryame Kitir: Potentieel,Frank Vandenbroucke: Potentieel,Vincent Van Quickenborne: Potentieel,Alexander De Croo: Potentieel,Bart Somers: Potentieel,Egbert Lachaert: Potentieel,Hilde Crevits: Potentieel,Joachim Coens: Potentieel,Wouter Beke: Potentieel,Annelies Verlinden: Potentieel,Meyrem Almaci: Potentieel,Petra De Sutter: Potentieel,Tom Van Grieken: Potentieel,Dries Van Langenhove: Potentieel,Peter Mertens: Potentieel,Bart De Wever: Potentieel,Jan Jambon: Potentieel,Theo Francken: Potentieel,Ben Weyts: Potentieel,Zuhal Demir: Potentieel,Positieve woorden om Vooruit (vroeger sp.a) te omschrijven?,Label positieve woorden Vooruit,Negatieve woorden Vooruit (vroeger sp.a) te omschrijven?,Kolom,Label negatieve woorden Vooruit,Overall sentiment,Waarin verschilt Vooruit volgens u van sp.a?,Label verschil
94,Vrouw,66,Vlaams-Brabant,Stedelijke gemeenten,"licentiaat, master, postgraduaat",Gepensioneerde,Ja,Ja,Ja,Ja,Nee,Nee,Nee,N-VA,{VB},N-VA,,,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Covid,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,,,Ja,,,Ja,Ja,Ja,,,,,,,,,Sociaal,Sociaal,-,,Geen,Evenwichtig,Geen verschil.,Geen
814,Vrouw,43,Antwerpen,Andere gemeenten,"licentiaat, master, postgraduaat","Middenkader, verantwoordelijk voor 5 werknemers of minder",Nee,Nee,Nee,Nee,Ja,Ja,Nee,VLD,{N-VA},VLD,,,Weinig vertrouwen,Weinig vertrouwen,Redelijk vertrouwen,Weinig vertrouwen,-,Ja,Ja,Ja,Nee,Nee,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Nee,Nee,Nee,,,Nee,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,,Ja,Nee,-,Ongeldig,-,,Ongeldig,Ongeldig,-,Geen
986,Man,50,Antwerpen,GROTE agglomeraties,"kandidaat, bachelor, graduaat","Andere bediende die geen kantoorwerk uitvoert (vb. verpleegsters, onderwijzers, politiemannen,…)",Nee,Nee,Ja,Nee,Ja,Nee,Nee,VB,"{Groen,Vooruit,VLD,PVDA}",VB,,,Helemaal geen vertrouwen,Weinig vertrouwen,Weinig vertrouwen,Weinig vertrouwen,corrupte politiekers,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,,Nee,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,-,Ongeldig,-,,Ongeldig,Ongeldig,niks,Geen
500,Man,35,West-Vlaanderen,Andere gemeenten,hoger secundair beroepsonderwijs (BSO),Niet-geschoold arbeider,Nee,Nee,Ja,Nee,Ja,Nee,Nee,N-VA,{Weet niet},N-VA,,,Weinig vertrouwen,Weinig vertrouwen,Weinig vertrouwen,Weinig vertrouwen,corona,Ja,Nee,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Ja,Nee,Nee,Nee,Nee,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,,Ja,Ja,Ja,Ja,,Ja,,Ja,,,,,Ja,,Ja,Ja,Ja,Ja,Ja,geen,Geen,-,,Ongeldig,Ongeldig,-,Geen
255,Man,35,Oost-Vlaanderen,Stedelijke gemeenten,hoger secundair technisch of artistiek onderwijs,"Andere bediende die geen kantoorwerk uitvoert (vb. verpleegsters, onderwijzers, politiemannen,…)",Ja,Nee,Nee,Nee,Nee,Nee,Nee,Groen,{Geen},Groen,,,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Weinig vertrouwen,-,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Nee,-,Ongeldig,-,,Ongeldig,Ongeldig,niets,Geen
1020,Man,46,Vlaams-Brabant,Andere gemeenten,hoger algemeen secundair onderwijs,"Andere bediende die geen kantoorwerk uitvoert (vb. verpleegsters, onderwijzers, politiemannen,…)",Nee,Nee,Nee,Nee,Nee,Nee,Nee,Niet stemmen,{Geen},Niet stemmen,,,Weinig vertrouwen,Helemaal geen vertrouwen,Helemaal geen vertrouwen,Helemaal geen vertrouwen,-,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,-,Ongeldig,-,,Ongeldig,Ongeldig,-,Geen
298,Man,30,West-Vlaanderen,Sekundaire gemeenten,"kandidaat, bachelor, graduaat","Middenkader, verantwoordelijk voor 5 werknemers of minder",Nee,Nee,Ja,Nee,Nee,Nee,Nee,N-VA,{PVDA},N-VA,,,Weinig vertrouwen,Redelijk vertrouwen,Helemaal geen vertrouwen,Helemaal geen vertrouwen,-,Nee,Nee,Nee,Ja,Ja,Nee,Nee,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Ja,Ja,Ja,Nee,Nee,Ja,Ja,,,,Ja,Ja,,,Nee,Ja,Nee,,,,,Nee,Ja,Nee,,,Ja,Nee,-,Ongeldig,-,,Ongeldig,Ongeldig,-,Geen
1420,Man,18,Antwerpen,GROTE agglomeraties,hoger algemeen secundair onderwijs,Scholier/Student / in opleiding,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Groen,"{N-VA,VB,PVDA}",Mocht niet,,,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Helemaal geen vertrouwen,- De coronacrisis waar we nu in zitten.,Ja,Nee,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,,Ja,,Nee,Ja,Nee,Ja,Nee,Ja,Ja,Ja,,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,"-vooruitstrevend, oprecht, ambitieus",Innovatie - Vernieuwing,- geen,,Geen,Positief,- in niks,Geen
90,Vrouw,66,Antwerpen,GROTE agglomeraties,hoger algemeen secundair onderwijs,Gepensioneerde,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Blanco,"{Groen,CD&V,Vooruit,VB,VLD,PVDA}",Blanco,,,Weinig vertrouwen,Redelijk vertrouwen,Weinig vertrouwen,Weinig vertrouwen,"oplossen coronacrisis : economisch, psychisch, gezondheidszorg",Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Ja,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,vernieuwing-modernisering,Innovatie - Vernieuwing,---,,Geen,Positief,"jonger, moderner en vernieuwender",Imago: Jong
278,Man,66,Oost-Vlaanderen,Andere gemeenten,hoger algemeen secundair onderwijs,Gepensioneerde,Nee,Nee,Ja,Ja,Ja,Nee,Nee,Vooruit,{CD&V},sp.a,,,Weinig vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,coronacrisis en belastingen,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Ja,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Nee,Nee,krachtig,Brand identity: naam,----,,Geen,Positief,dit is krachtiger en moderner,Beleid: daadkracht
964,Man,66,Antwerpen,Stedelijke gemeenten,"licentiaat met aanvullend diploma, MaNaMa",Gepensioneerde,Nee,Nee,Nee,Ja,Nee,Ja,Ja,PVDA,{VB},PVDA,,,Redelijk vertrouwen,Veel vertrouwen,Weinig vertrouwen,Helemaal geen vertrouwen,versnippering door federalisatie dus geen besluitvorming,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Nee,Nee,Nee,Nee,Ja,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,rood is troef,Sociaal,.,,Geen,Positief,jonger beeld,Imago: jong
755,Vrouw,28,West-Vlaanderen,Sekundaire gemeenten,"kandidaat, bachelor, graduaat","Andere bediende die geen kantoorwerk uitvoert (vb. verpleegsters, onderwijzers, politiemannen,…)",Nee,Ja,Ja,Nee,Ja,Ja,Ja,Weet niet,{Groen},Weet niet,,,Weinig vertrouwen,weet niet,Weinig vertrouwen,Weinig vertrouwen,"Te veel ministers, te veel kamerleden, te veel partijen, ...",Ja,Nee,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Ja,Nee,Ja,Nee,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Nee,,Nee,Nee,Ja,Ja,,Nee,,Nee,,Nee,,Ja,Nee,,Nee,Nee,Nee,Nee,Nee,/,Ongeldig,/,,Ongeldig,Ongeldig,/,Geen
605,Vrouw,24,Antwerpen,Sekundaire gemeenten,"licentiaat, master, postgraduaat",Scholier/Student / in opleiding,Ja,Ja,Nee,Ja,Nee,Ja,Nee,Weet niet,{VB},Niet stemmen,,,Weinig vertrouwen,Redelijk vertrouwen,weet niet,weet niet,coronacrisis,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Ja,Ja,Ja,Nee,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Ja,Nee,,Ja,,Nee,Nee,Nee,,Nee,Nee,,Nee,Nee,Nee,Nee,Nee,/,Ongeldig,/,,Ongeldig,Ongeldig,/,Geen
616,Vrouw,34,Oost-Vlaanderen,GROTE agglomeraties,"licentiaat met aanvullend diploma, MaNaMa",Vrij beroep,Ja,Nee,Nee,Ja,Nee,Nee,Nee,Groen,"{N-VA,VB,PVDA}",Groen,,,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Weinig vertrouwen,De coronacrisis,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,"Vooruitgang, zorgen voor",Innovatie - Vernieuwing,/,,Geen,Positief,Niets,Geen
617,Vrouw,58,Vlaams-Brabant,Stedelijke gemeenten,"kandidaat, bachelor, graduaat","Andere bediende die geen kantoorwerk uitvoert (vb. verpleegsters, onderwijzers, politiemannen,…)",Ja,Ja,Nee,Ja,Nee,Nee,Nee,Vooruit,"{N-VA,VB,PVDA}",sp.a,,,Weinig vertrouwen,Veel vertrouwen,Redelijk vertrouwen,Weinig vertrouwen,Té veel ministers voor één thema!!! 9 voor gezondheidszorg??????!!!!!!,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,Ja,Nee,Ja,Nee,Nee,Ja,Nee,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Sociaal voelend.,Sociaal,/,,Geen,Positief,Geen.,Geen
900,Vrouw,34,Oost-Vlaanderen,GROTE agglomeraties,"licentiaat met aanvullend diploma, MaNaMa",Vrij beroep,Ja,Nee,Nee,Ja,Nee,Nee,Nee,Groen,"{N-VA,VB,PVDA}",Groen,,,Redelijk vertrouwen,Redelijk vertrouwen,Weinig vertrouwen,Weinig vertrouwen,Corona,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Opkomen voor de sociale zekerheid,Kernthema's (sociale zekerheid),/,,Geen,Positief,?,Geen
897,Vrouw,20,Oost-Vlaanderen,Andere gemeenten,hoger algemeen secundair onderwijs,Scholier/Student / in opleiding,Nee,Ja,Ja,Ja,Nee,Nee,Nee,CD&V,{VB},N-VA,,,Redelijk vertrouwen,Veel vertrouwen,Redelijk vertrouwen,Veel vertrouwen,Er wordt te weinig geluisterd naar het volk,Ja,Nee,Ja,Ja,Ja,Nee,Nee,Ja,Nee,Ja,Nee,Ja,Nee,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Nee,,Nee,Nee,Ja,,,Nee,,Nee,,Nee,,Nee,Nee,,Nee,Ja,Nee,Ja,Ja,/,Ongeldig,/,,Ongeldig,Ongeldig,Niet veel,Geen
272,Man,38,West-Vlaanderen,Sekundaire gemeenten,hoger secundair technisch of artistiek onderwijs,Scholier/Student / in opleiding,Ja,Nee,Nee,Ja,Nee,Nee,Ja,PVDA,"{CD&V,N-VA,VB,VLD}",PVDA,,,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Weinig vertrouwen,diversiteit aan opinies,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Nee,/,Ongeldig,/,,Ongeldig,Ongeldig,/,Geen
277,Vrouw,26,Vlaams-Brabant,Sekundaire gemeenten,hoger secundair technisch of artistiek onderwijs,"Andere bediende die geen kantoorwerk uitvoert (vb. verpleegsters, onderwijzers, politiemannen,…)",Nee,Nee,Ja,Nee,Ja,Nee,Nee,N-VA,{PVDA},VB,,,Weinig vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,/,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Nee,,Nee,Nee,Nee,Nee,,Ja,Ja,Ja,Ja,Nee,/,Ongeldig,/,,Ongeldig,Ongeldig,/,Geen
817,Vrouw,20,Antwerpen,GROTE agglomeraties,"kandidaat, bachelor, graduaat",Scholier/Student / in opleiding,Ja,Nee,Nee,Ja,Nee,Nee,Nee,Groen,"{N-VA,VB}",Groen,,,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,/,Ja,Nee,Ja,Nee,Ja,Ja,Nee,Ja,Nee,Ja,Nee,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,Nee,,Nee,Nee,,Ja,,Nee,,,Nee,Ja,Nee,Nee,Ja,Ja,Nee,Nee,Ja,/,Ongeldig,/,,Ongeldig,Ongeldig,Niets,Geen
476,Vrouw,30,Antwerpen,Andere gemeenten,"kandidaat, bachelor, graduaat",Scholier/Student / in opleiding,Ja,Nee,Nee,Ja,Nee,Nee,Ja,Vooruit,"{VB,VLD}",sp.a,,,Weinig vertrouwen,weet niet,Weinig vertrouwen,Weinig vertrouwen,Ons politieke systeem werkt niet goed meer.,Ja,Nee,Nee,Ja,Ja,Ja,Nee,Ja,Nee,Ja,Nee,Ja,Nee,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,,Nee,Nee,Nee,,Nee,,Nee,,Ja,,Nee,,Ja,Nee,Nee,Nee,Nee,Nee,Toekomstgericht,Leiderschap: Toekomstgericht,/,,Geen,Positief,/,Geen
875,Vrouw,35,Antwerpen,Sekundaire gemeenten,"kandidaat, bachelor, graduaat","Andere bediende die geen kantoorwerk uitvoert (vb. verpleegsters, onderwijzers, politiemannen,…)",Ja,Nee,Ja,Nee,Ja,Nee,Nee,N-VA,{PVDA},N-VA,,,Weinig vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Migratie,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,Nee,Ja,Ja,Nee,Nee,Nee,Nee,Nee,,Nee,Nee,Nee,Nee,Nee,Ja,Ja,Ja,Nee,Nee,/,Ongeldig,/,,Ongeldig,Ongeldig,Moderner,Imago: jong
295,Vrouw,23,West-Vlaanderen,Sekundaire gemeenten,"kandidaat, bachelor, graduaat","Andere bediende die hoofdzakelijk kantoorwerk uitvoert (vb.secretaresses, assistenten,…)",Ja,Ja,Ja,Nee,Nee,Ja,Ja,VLD,{VB},sp.a,/,,Weinig vertrouwen,Redelijk vertrouwen,Weinig vertrouwen,Redelijk vertrouwen,/,Ja,Nee,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Nee,Nee,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Nee,,Nee,Ja,Ja,Nee,,Ja,Nee,Nee,Ja,,,Nee,Nee,,Ja,Nee,Nee,Nee,Nee,/,Ongeldig,/,,Ongeldig,Ongeldig,/,Geen
638,Vrouw,20,Antwerpen,GROTE agglomeraties,hoger algemeen secundair onderwijs,Scholier/Student / in opleiding,Ja,Ja,Nee,Ja,Nee,Nee,Ja,Groen,{VB},Groen,,,Weinig vertrouwen,Weinig vertrouwen,Weinig vertrouwen,Weinig vertrouwen,Economische problemen,Ja,Nee,Ja,Nee,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Nee,Nee,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Nee,Ja,,Nee,,Nee,Nee,Nee,Ja,,Nee,Nee,,,Ja,Nee,,Nee,Nee,Nee,Nee,,Hebben goede werkpunten,Kernthema's,/,,Geen,Positief,Geen idee,Geen
421,Vrouw,28,Oost-Vlaanderen,Andere gemeenten,"licentiaat, master, postgraduaat","Andere bediende die hoofdzakelijk kantoorwerk uitvoert (vb.secretaresses, assistenten,…)",Nee,Nee,Nee,Ja,Nee,Nee,Ja,Vooruit,"{N-VA,VB}",sp.a,,,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Weinig vertrouwen,corona,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Nee,"verbindend, sociaal",Sociaal,/,,Ongeldig,Evenwichtig,Niet,Geen
746,Man,37,Antwerpen,GROTE agglomeraties,hoger algemeen secundair onderwijs,"Andere bediende die geen kantoorwerk uitvoert (vb. verpleegsters, onderwijzers, politiemannen,…)",Nee,Nee,Ja,Nee,Ja,Nee,Nee,VB,"{CD&V,Vooruit,VLD,PVDA}",VB,,,Weinig vertrouwen,Weinig vertrouwen,Weinig vertrouwen,Weinig vertrouwen,teveel ministers die niet weten wat ze doen of waar ze mee bezig zijn.,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Nee,Ja,Nee,,Nee,Nee,Nee,Nee,Nee,Nee,,Nee,,Nee,Nee,Ja,Ja,,Nee,Nee,Ja,,Nee,ik heb er geen positieve woorden voor,Geen,/,,Alles,Negatief,andere naam zelfde zeverpartij,Naam
1426,Vrouw,20,Vlaams-Brabant,Sekundaire gemeenten,hoger algemeen secundair onderwijs,Scholier/Student / in opleiding,Ja,Ja,Nee,Ja,Nee,Nee,Nee,Groen,{VB},Groen,,,Weinig vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,weet niet,"Het politiek klimaat is zeer gepolariseerd, mensen hebben vertrouwen verloren in meer centrale partijen en voelen daarom de nood om extremer te gaan stemmen.",Nee,Nee,Nee,Nee,Ja,Nee,Nee,Ja,Nee,Nee,Nee,Nee,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Nee,,,,,Nee,,,Nee,,,,,Ja,Nee,Nee,,Nee,Nee,Nee,Nee,,progressief,Innovatie - Vernieuwing,/,,Ongeldig,Positief,ik dacht dat ze de zelfde partij waren maar dan met een andere naam,Naam
551,Vrouw,33,Oost-Vlaanderen,Stedelijke gemeenten,hoger algemeen secundair onderwijs,"Middenkader, verantwoordelijk voor 5 werknemers of minder",Nee,Nee,Nee,Nee,Ja,Ja,Nee,VB,{Groen},N-VA,,,Weinig vertrouwen,Redelijk vertrouwen,Weinig vertrouwen,Weinig vertrouwen,Algemene onkunde,Ja,Nee,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Nee,,Nee,Nee,Nee,,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Nee,,Nee,Nee,Ja,Ja,Nee,Opkomend voor de zorgsector/algemene gezondheid,Kernthema's (gezondheidszorg),/,,Geen,Positief,Jongere opvolging,Leiders: jong
763,Man,24,Oost-Vlaanderen,GROTE agglomeraties,"licentiaat, master, postgraduaat","Andere bediende die hoofdzakelijk kantoorwerk uitvoert (vb.secretaresses, assistenten,…)",Ja,Nee,Ja,Ja,Nee,Nee,Nee,Vooruit,{VB},N-VA,,/,Weinig vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,corona,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Nee,/,Ongeldig,/,,Ongeldig,Ongeldig,/,Geen
764,Vrouw,27,Vlaams-Brabant,Stedelijke gemeenten,"licentiaat, master, postgraduaat","Middenkader, verantwoordelijk voor 5 werknemers of minder",Ja,Ja,Nee,Ja,Nee,Ja,Ja,VLD,{VB},VLD,,,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,/,Nee,Nee,Ja,Nee,Ja,Nee,Nee,Ja,Nee,Ja,Nee,Nee,Nee,Nee,Ja,Nee,Ja,Ja,Nee,Ja,Nee,,,Ja,,Ja,,,Ja,,Ja,,,,,Nee,,Nee,Ja,,Ja,,/,Ongeldig,/,,Ongeldig,Ongeldig,niks,Geen
559,Vrouw,34,Antwerpen,GROTE agglomeraties,hoger algemeen secundair onderwijs,"Middenkader, verantwoordelijk voor 6 werknemers of meer",Nee,Ja,Ja,Ja,Nee,Ja,Nee,N-VA,{VB},N-VA,,,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Weinig vertrouwen,criminaliteit/ongelijkheid,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Nee,,Nee,Nee,Nee,Nee,Nee,Nee,,Nee,Nee,Nee,Nee,Nee,Nee,Nee,Ja,Nee,Ja,Nee,Nee,/,Ongeldig,/,,Ongeldig,Ongeldig,/,Geen
158,Vrouw,32,Antwerpen,Sekundaire gemeenten,"kandidaat, bachelor, graduaat","Andere bediende die hoofdzakelijk kantoorwerk uitvoert (vb.secretaresses, assistenten,…)",Ja,Ja,Ja,Ja,Ja,Ja,Ja,Weiger,{Geen},Weiger,,,Helemaal geen vertrouwen,Helemaal geen vertrouwen,Helemaal geen vertrouwen,Helemaal geen vertrouwen,Corona,Ja,Nee,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Ja,Nee,Ja,Nee,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Nee,,Nee,Nee,Ja,Nee,,Nee,,Ja,,Nee,,Nee,Nee,,Nee,Nee,Nee,Nee,Nee,De rode sociale partij,Sociaal,/,,Geen,Positief,Minder conservatief,Vernieuwing
666,Vrouw,37,Vlaams-Brabant,Andere gemeenten,"licentiaat met aanvullend diploma, MaNaMa","Andere bediende die geen kantoorwerk uitvoert (vb. verpleegsters, onderwijzers, politiemannen,…)",Ja,Ja,Ja,Ja,Nee,Ja,Nee,CD&V,{VB},CD&V,,,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Redelijk vertrouwen,Emotionele gezondheidszorg,Ja,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Nee,Ja,Nee,Ja,Ja,Nee,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,,Ja,Nee,Nee,Ja,Nee,Ja,,Ja,,Nee,Nee,,Ja,Ja,Nee,Ja,Ja,"Nieuwe frisse wind met Connor Rouseau, dankbaar dat hij inzet op mentale gezondheid",Leiderschap: Conner,/,,Geen,Positief,Vooral de naamsverandering en tonen aan de mensen dat we vooruit willen,Gedrag: gedreven
